symbol            dec  seen  name                                   address
----------------------------------------------------------------------------------------------------
?                  18   183  Wrapped HYPE                           0x5555555555555555555555555555555555555555
USD0                6    76  USD0                                   0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb
?                   8    24  ?                                      0x9fdbda0a5e284c32744d2f17ee5c74b284993463
UETH               18    20  Unit Ethereum                          0xbe6727b535545c67d5caa73dea54865b92cf7907
feUSD              18    17  feUSD                                  0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70
USDHL               6    17  Hyper USD                              0xb50a96253abdf803d85efcdce07ad8becbc52bd5
LHYPE               ?    12  Looped HYPE                            0x5748ae796ae46a4f1348a1693de4b50560485562
USDXL              18    10  Last USD                               0xca79db4b49f608ef54a5cb813fbed3a6387bc645
kHYPE              18     7  Kinetiq Staked HYPE                    0xfd739d4e423301ce9385c1fb8850539d657c296d
KEI                18     6  KEI Stablecoin                         0xb5fe77d323d69eb352a02006ea8ecc38d882620c
?                  18     6  Staked HYPE                            0xffaa4a3d97fe9107cef8a3f48c069f577ff76cc1
?                   6     5  alright buddy                          0x47bb061c0204af921f43dc73c7d7768d2672ddee
?                   6     5  USDC                                   0xb88339cb7199b77e23db6e890353e22632ba630f
USOL                9     4  Unit Solana                            0x068f321fa8fb9f0d135f290ef6a3e2813e1c8a29
hbHYPE             18     2  Hyperbeat Ultra HYPE                   0x96c6cbb6251ee1c257b2162ca0f39aa5fa44b1fb
XAUt0               6     2  XAUt0                                  0xf4d9235269a96aadafc9adae454a0618ebe37949
WHLP                6     2  Wrapped HLP                            0x1359b05241ca5076c9f59605214f4f84114c0de8
UFART               6     2  Unit Fartcoin                          0x3b4575e689ded21caad31d64c4df1f10f3b2cedf
RUB                18     2  RUB                                    0x7dcffcb06b40344eeced2d1cbf096b299fe4b405
?                  18     2  ?                                      0x9b498c3c8a0b8cd8ba1d9851d40d186f1872b44e
tst                18     1  tst                                    0x660012e3dc33a539e2433225021606f604c21d4c
rP                 18     1  rePRICE                                0x8bf8d093dccc8316847806a74a56322175b6827e
mHYPE              18     1  Hyperpie Staked mHYPE                  0xdabb040c428436d41cecd0fb06bcfdbaad3a9aa8
invest             18     1  dog in vest                            0x05bd15358bf9aae88f38e3a533995e8929e00000
UXPL               18     1  Unit Plasma                            0x33af3c2540ba72054e044efe504867b39ae421f5
USDe               18     1  USDeOFT                                0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34
SWAP               18     1  Swap                                   0x03832767bdf9a8ef007449942125ad605acfadb8
SPHERE              6     1  HYPESPHERE                             0x3e5fba5dd52e931276b3c84df7542c2eeea1440b
Rabbit             18     1  Quantum White Fiber Rabbit             0x5363341418b93bf5208211cc6e11a9812f797b07
NOCEX              18     1  NO CEX                                 0x9281973406d2d347fe2ff2af7daa36464b618bbb
HyperSIR           12     1  Synthetics Implemented Right           0xa06d0c5a8adb7134903ca13d1fc0641731e2b766
HYPSTR             18     1  HypurrStrategy                         0x92eb91ac8bc3abe1812c0064e05e667335440d8e
HOLE               18     1  HOLE                                   0xaa0ec6a123bb6ce5d93b2fa8dc1b309615268777
HFUN               18     1  HFUN                                   0xa320d9f65ec992eff38622c63627856382db726c
GENESY             18     1  GENESY                                 0x6f7e96c0267cd22fe04346af21f8c6ff54372939
DEAUX              18     1  Jeff Ryan prediction market            0x906b21e7f1bca0c9bc0471596d2b5bf1d6a1d383
COPPER             18     1  maxxing                                0xc4b323bbf6d568854d761a6c319652b83e6a4dc9
BULBUL             18     1  BULBUL2DAO                             0x99750393c5b40093a53ccd2d8e9f61ef4f401826
?                   ?     1  Staked HYPE Shares                     0x94e8396e0869c9f2200760af0621afd240e1cf38
                   18     1                                         0x9965651c7ce19e5a6e7fd54c6ad02ef572ac7777
